task,Progress,objective,team
Ensure that libraries are part of key corporate startegies,started ,Maximise use of the service and its resources, 
"ESP Project to upgrade boilers, ventilation and lighting",started ,Maximise use of the service and its resources,Estates
Develop annual work plan for Libraries Equalities Allies,started,Maximise use of the service and its resources,Management Team
Develop communications strategy and forward plan,started ,Maximise use of the service and its resources,Management Team
Develop communications strategy and forward plan,started ,Maximise use of the service and its resources,Management Team
Develop staff training plan (to include skills audit),started,Maximise use of the service and its resources,Management Team
"ESP Project to upgrade boilers, ventilation and lighting",started ,Maximise use of the service and its resources,Management Team
Ensure that libraries are part of key corporate startegies,started ,Maximise use of the service and its resources,Management Team
New Burnt Oak Library - work with Boost to focus on employment and skills,started,Maximise use of the service and its resources,Management Team
New Burnt Oak Library - work with Boost to focus on employment and skills,started,Maximise use of the service and its resources,Management Team
New Hendon Library - include multi-use/ multi-agency space and LCS space,started ,Maximise use of the service and its resources,Management Team
New Hendon Library - include multi-use/ multi-agency space and LCS space,started ,Maximise use of the service and its resources,Management Team
Open + v2 roll-out,started ,Maximise use of the service and its resources,Management Team
Open + v2 roll-out,started ,Maximise use of the service and its resources,Management Team
Relaunch Libraries Leadership Programme,Open ,Maximise use of the service and its resources,Management Team
upgrade physical and digital signage/ design standards,Open,Maximise use of the service and its resources,Management Team
upgrade physical and digital signage/ design standards,Open,Maximise use of the service and its resources,Management Team
Develop annual work plan for Libraries Equalities Allies,started,Maximise use of the service and its resources,Operations
"ESP Project to upgrade boilers, ventilation and lighting",started ,Maximise use of the service and its resources,Operations
New Burnt Oak Library - work with Boost to focus on employment and skills,started,Maximise use of the service and its resources,Operations
New Hendon Library - include multi-use/ multi-agency space and LCS space,started ,Maximise use of the service and its resources,Operations
New Hendon Library - include multi-use/ multi-agency space and LCS space,started ,Maximise use of the service and its resources,Operations
Open + v2 roll-out,started ,Maximise use of the service and its resources,Operations
Renew visitor counters,Open,Maximise use of the service and its resources,Operations
Renew visitor counters,Open,Maximise use of the service and its resources,Operations
upgrade physical and digital signage/ design standards,Open,Maximise use of the service and its resources,Operations
Open + v2 roll-out,started ,Maximise use of the service and its resources,Pillar 0
Review all committee forward plans to identify synergies ,started ,Maximise use of the service and its resources,Pillar 1
upgrade physical and digital signage/ design standards,Open,Maximise use of the service and its resources,Pillar 2
Develop staff training plan (to include skills audit),started,Maximise use of the service and its resources,Pillar 5
Relaunch Libraries Leadership Programme,Open ,Maximise use of the service and its resources,Pillar 5
Develop annual work plan for Libraries Equalities Allies,started,Maximise use of the service and its resources,blank
Develop annual work plan for Libraries Equalities Allies,started,Maximise use of the service and its resources,blank
Develop communications strategy and forward plan,started ,Maximise use of the service and its resources,blank
Develop communications strategy and forward plan,started ,Maximise use of the service and its resources,blank
Develop staff training plan (to include skills audit),started,Maximise use of the service and its resources,blank
Develop staff training plan (to include skills audit),started,Maximise use of the service and its resources,blank
"ESP Project to upgrade boilers, ventilation and lighting",started ,Maximise use of the service and its resources,blank
Ensure that libraries are part of key corporate startegies,started ,Maximise use of the service and its resources,blank
Ensure that libraries are part of key corporate startegies,started ,Maximise use of the service and its resources,blank
New Burnt Oak Library - work with Boost to focus on employment and skills,started,Maximise use of the service and its resources,blank
Relaunch Libraries Leadership Programme,Open ,Maximise use of the service and its resources,blank
Relaunch Libraries Leadership Programme,Open ,Maximise use of the service and its resources,blank
Renew visitor counters,Open,Maximise use of the service and its resources,blank
Renew visitor counters,Open,Maximise use of the service and its resources,blank
Review all committee forward plans to identify synergies ,started ,Maximise use of the service and its resources,blank
Review all committee forward plans to identify synergies ,started ,Maximise use of the service and its resources,blank
Review all committee forward plans to identify synergies ,started ,Maximise use of the service and its resources,blank
Develop Technology forward plan,Open,Mitigate the risks posed by the pandemic to the service, 
Map existing partnerships and identify gaps,Open,Mitigate the risks posed by the pandemic to the service,All Teams
Affected staff have appropriate settled status,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Booking Live system for online booking and payment for events (bypassing My Account),started ,Mitigate the risks posed by the pandemic to the service,Management Team
"Contact main suppliers to ensure plans in place for no deal Brexit (Capita Libraries, media suppliers)",completed,Mitigate the risks posed by the pandemic to the service,Management Team
Develop Technology forward plan,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Develop income strategy,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Develop online enquiries service,completed,Mitigate the risks posed by the pandemic to the service,Management Team
Develop outreach strategy (link to IDP),Open,Mitigate the risks posed by the pandemic to the service,Management Team
Develop outreach strategy (link to IDP),Open,Mitigate the risks posed by the pandemic to the service,Management Team
Develop proposals for future income generation,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Ensure library needs are reflected on the Infrastructure Development Plan and develop closer links with the Grwoth Team,started,Mitigate the risks posed by the pandemic to the service,Management Team
Establish Book Chat/ staff engagement events,completed,Mitigate the risks posed by the pandemic to the service,Management Team
Establish Book Chat/ staff engagement events,completed,Mitigate the risks posed by the pandemic to the service,Management Team
"Here to Help newly named ‘Discover Your Library’ to support customers to come back; induction sessions for new members, outreach visits to promote services",Open,Mitigate the risks posed by the pandemic to the service,Management Team
Identify efficiencies in current budgets - Review grounds maintenance/ trade waste costs and revise requirements down ,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Introduce mechanism for accepting donations.,started ,Mitigate the risks posed by the pandemic to the service,Management Team
Introduce mechanism for accepting donations.,started ,Mitigate the risks posed by the pandemic to the service,Management Team
Library Development plans created for all localities,Open ,Mitigate the risks posed by the pandemic to the service,Management Team
Link in to corporate ‘Live/shop local’ marketing campaigns,started ,Mitigate the risks posed by the pandemic to the service,Management Team
NBA – investigate how opening hours can be extended in partnership with the leisure centre,Open,Mitigate the risks posed by the pandemic to the service,Management Team
Review use of waste and sani bins by tenants and billing arrangements,Open ,Mitigate the risks posed by the pandemic to the service,Management Team
